Usuario,Categorias,Numero_articulos,Fecha,Precio,Valoracion,Comentarios,Proveedores
242,Accesorios,11,2019-05-11 04:56:48.783112,108.68,1.6,el paquete llego en mal estado, Michael Kors
126,Hogar,5,2020-06-10 11:30:50.963025,216.71,4.6,justo lo que esperaba,Colgate - palmolive
226,Libros,3,2020-01-01 19:59:11.498455,464.55,2.2,el paquete llego en mal estado,Alianza Editorial
368,Ropa,2,2020-04-26 20:53:19.132201,27.22,4.4,buena relacion calidad-precio,Lacoste
57,Hogar,5,2019-07-29 19:34:21.547144,480.59,2.0,no llego en tiempo,Henkel
465,Electronica,8,2020-04-09 16:12:17.626934,484.32,1.2,no llego el producto,Sony
386,Baño,4,2019-11-02 21:04:07.676952,208.86,0.4,no cumple las expectativas,Cristasol
316,Ropa,2,2019-02-09 14:02:12.803839,55.28,3.4, cumple las expectativas,Hollister
138,Zapatos,11,2019-04-30 22:34:06.552772,118.93,1.3,no llego el producto,New balance
251,Electronica,6,2019-12-17 14:38:14.556683,54.47,0.2,muy malo,Samsumg
375,Deporte,4,2020-09-28 11:05:30.945991,61.35,0.6,muy malo,Under Armour
496,Baño,2,2019-09-24 20:11:38.502292,377.76,1.8, la calidad no es la esperada,KH7
453,Libros,11,2019-07-25 04:50:26.088754,180.83,1.8,el paquete llego en mal estado,Ediciones Tomodomo
177,Deporte,8,2020-09-28 21:12:05.670568,308.39,1.3,no cumple las expectativas,Adidas
374,Electronica,5,2020-12-21 10:19:28.640831,494.17,3.3, cumple las expectativas,Sony
83,Zapatos,7,2020-03-16 23:46:30.747195,136.77,3.2, cumple las expectativas,Camper
476,Zapatos,3,2019-06-03 20:18:29.540401,124.3,1.7,el paquete llego en mal estado,Crocs
115,Ferreteria,9,2020-02-27 19:26:45.789765,137.91,5.0, muy bueno!,Yale
33,Electronica,8,2020-11-06 21:39:19.943507,216.12,3.4,me gusto,Apple
29,Electronica,8,2019-03-23 13:19:49.691053,340.08,4.0, muy bueno!,General Electric
429,Ferreteria,3,2020-12-10 00:20:40.065833,188.45,1.5,no cumple las expectativas,3M
43,Cocina,10,2019-02-19 18:46:30.227194,332.41,1.3,muy malo,Bimbo
274,Electronica,3,2020-12-07 17:32:22.868937,224.76,0.1,no llego el producto,Samsumg
431,Electronica,6,2020-12-27 05:38:21.319730,31.51,3.0, cumple las expectativas,Sony
212,Baño,7,2019-05-18 14:30:54.134177,288.28,1.1,no llego el producto,KH7
421,Deporte,10,2020-06-04 22:02:44.320119,136.21,4.9,justo lo que esperaba,Asics
114,Ferreteria,2,2020-04-06 08:42:19.218474,125.18,4.3,justo lo que esperaba,Pavco
102,Hogar,3,2020-06-07 19:33:26.266009,243.71,2.2,no llego en tiempo,Vileda
472,Zapatos,5,2019-02-17 10:53:57.307446,120.19,0.7,no llego el producto,Skechers
312,Deporte,8,2020-10-04 04:24:02.459062,355.66,2.1, la calidad no es la esperada,Asics
344,Accesorios,11,2020-08-22 20:30:02.556377,221.64,1.7, la calidad no es la esperada,Ray-ban
414,Cocina,9,2019-04-14 05:10:09.510779,317.59,3.5, cumple las expectativas,Flora
465,Juguetes,8,2020-04-17 23:50:09.477619,382.23,4.8,buena relacion calidad-precio,Playmobile
392,Ropa,4,2020-08-03 08:25:22.006231,303.01,3.0,me gusto,Lacoste
319,Baño,5,2020-04-14 17:08:40.681213,490.75,4.6,buena relacion calidad-precio,Don limpio
218,Hogar,7,2019-12-09 06:24:26.887363,278.02,1.6,el paquete llego en mal estado,Vileda
346,Cocina,4,2020-04-10 15:25:54.829269,155.45,3.8, muy bueno!,Oscar mayer
362,Hogar,11,2019-12-13 04:24:02.836397,250.44,1.1,no llego el producto,Colgate - palmolive
235,Deporte,9,2020-06-11 04:20:33.427136,477.62,2.6,me gusto,Nike
20,Deporte,11,2020-04-15 13:42:20.347740,110.68,1.0,no cumple las expectativas,Under Armour
209,Ropa,5,2020-03-06 10:03:52.645889,498.2,0.8,no llego el producto,Levis
132,Juguetes,5,2019-04-26 11:59:27.658862,466.33,2.2,el paquete llego en mal estado,Chicco
368,Electronica,1,2020-12-06 05:11:16.376300,350.85,4.5, muy bueno!,General Electric
317,Deporte,8,2019-06-20 03:12:59.930903,361.93,1.8,el paquete llego en mal estado,Nike
369,Accesorios,10,2019-04-05 12:08:54.184861,450.79,3.0, cumple las expectativas,Bimba y Lola
350,Libros,2,2019-07-12 22:05:59.864121,398.08,4.3,buena relacion calidad-precio,Valdemar
436,Libros,1,2020-10-12 11:09:35.884304,485.58,3.0, cumple las expectativas,Valdemar
28,Deporte,6,2019-10-04 22:00:24.356266,354.64,5.0,justo lo que esperaba,Asics
459,Zapatos,11,2019-11-02 05:03:25.115287,17.03,4.8, muy bueno!,Camper
319,Deporte,7,2020-12-13 14:29:43.280642,489.94,3.4, cumple las expectativas,Under Armour
494,Accesorios,11,2020-02-21 09:15:09.072343,340.87,0.9,no cumple las expectativas,Polo
49,Ropa,10,2020-05-15 20:33:52.459282,89.54,2.4,el paquete llego en mal estado,Roxy
204,Juguetes,1,2020-03-21 01:20:10.075710,497.96,1.1,muy malo,Fisher-price
9,Accesorios,10,2020-06-08 12:29:19.387948,427.91,1.8,el paquete llego en mal estado,Polo
358,Libros,7,2019-03-20 11:12:32.502336,40.18,0.7,no cumple las expectativas,Platena Comic
290,Zapatos,10,2019-07-01 21:10:28.331111,67.83,4.6, muy bueno!,Skechers
296,Juguetes,1,2020-05-30 12:23:53.563332,306.94,4.8,buena relacion calidad-precio,Chicco
412,Accesorios,5,2020-11-30 22:24:12.829012,20.52,3.0,me gusto, Michael Kors
275,Ferreteria,8,2020-08-30 10:02:39.650529,131.15,2.6, cumple las expectativas,Pavco
124,Ropa,6,2020-12-08 19:01:56.758470,233.19,4.9,justo lo que esperaba,Roxy
168,Hogar,5,2019-12-22 06:20:09.841642,310.45,3.9,buena relacion calidad-precio,Vileda
185,Juguetes,8,2020-10-17 23:13:01.271543,235.65,0.8,muy malo,Fisher-price
86,Electronica,9,2020-05-10 01:46:15.804416,228.18,4.0,buena relacion calidad-precio,Samsumg
298,Baño,7,2019-12-02 10:11:43.380068,205.1,3.1,llego justo a tiempo,Cif
432,Accesorios,7,2020-05-15 22:39:51.289666,155.8,4.6,justo lo que esperaba,Polo
334,Juguetes,2,2020-12-09 08:22:00.294111,13.55,3.5, cumple las expectativas,Chicco
478,Juguetes,2,2020-01-18 02:56:06.911270,110.39,1.6, la calidad no es la esperada,Lego
315,Accesorios,4,2020-09-15 11:05:47.145028,161.87,1.8,el paquete llego en mal estado,Polo
214,Libros,8,2020-09-01 18:01:09.268179,458.17,2.8,me gusto,Valdemar
59,Baño,11,2020-03-27 04:05:03.078638,484.82,4.8,buena relacion calidad-precio,Cif
71,Juguetes,11,2020-04-07 02:31:55.564316,312.89,3.7, muy bueno!,Fisher-price
331,Libros,9,2019-08-08 05:56:48.475140,385.75,1.1,no llego el producto,Ediciones Tomodomo
363,Libros,10,2020-11-09 00:28:19.383062,55.13,1.7, la calidad no es la esperada,Platena Comic
160,Ferreteria,1,2020-07-17 00:57:18.970162,165.32,4.2,buena relacion calidad-precio,Sika
29,Juguetes,6,2019-01-25 09:18:39.326560,179.39,1.6,no llego en tiempo,Playmobile
365,Baño,10,2020-07-11 19:03:27.043673,229.5,3.2, cumple las expectativas,Cristasol
442,Hogar,2,2019-02-07 19:00:08.657664,216.42,4.0, muy bueno!,Colgate - palmolive
494,Hogar,6,2020-10-13 03:24:12.161703,454.16,5.0,buena relacion calidad-precio,Unilever
98,Cocina,2,2019-10-05 00:24:33.734436,336.07,0.2,no cumple las expectativas,Oscar mayer
304,Zapatos,6,2019-09-20 19:08:52.917932,491.73,4.3,buena relacion calidad-precio,Skechers
270,Juguetes,2,2019-07-18 21:03:46.723750,180.29,3.2,llego justo a tiempo,Playmobile
82,Ropa,11,2020-03-06 20:09:56.513005,207.14,1.1,no llego el producto,Levis
239,Ropa,2,2019-09-03 03:50:04.451562,157.37,4.6, muy bueno!,Hollister
383,Accesorios,6,2019-09-16 18:27:28.819086,313.41,3.9, muy bueno!, Michael Kors
76,Baño,9,2020-07-06 05:53:54.932877,40.8,0.9,no cumple las expectativas,Cif
423,Libros,11,2019-04-02 08:01:55.598376,282.36,3.3,me gusto,Alianza Editorial
170,Cocina,7,2020-06-20 07:23:23.436103,466.04,4.0,justo lo que esperaba,Oscar mayer
17,Baño,4,2019-02-14 14:44:10.240611,23.29,4.4,justo lo que esperaba,KH7
250,Accesorios,7,2019-09-30 21:54:21.112339,154.41,4.1, muy bueno!,Polo
411,Cocina,7,2020-12-16 12:02:22.680426,441.71,2.2,no llego en tiempo,Flora
278,Ropa,10,2020-06-06 20:45:41.915450,92.05,1.6,no llego en tiempo,Lacoste
45,Cocina,10,2019-02-10 21:07:25.629462,353.94,3.3,llego justo a tiempo,Nescafe
248,Ropa,3,2019-12-11 14:38:02.814268,436.09,3.3,llego justo a tiempo,Hollister
488,Ferreteria,7,2019-10-08 09:29:30.914249,496.43,4.1, muy bueno!,Pavco
132,Deporte,6,2019-03-10 00:31:02.954593,246.46,1.1,no cumple las expectativas,Adidas
25,Ferreteria,11,2020-08-01 06:16:59.071843,456.65,2.6,me gusto,3M
24,Cocina,1,2020-11-17 00:39:00.656185,146.09,1.3,no llego el producto,Oscar mayer
460,Ferreteria,4,2019-05-31 12:15:42.464098,93.16,4.0,justo lo que esperaba,Sika
254,Juguetes,8,2019-01-24 23:31:02.212451,345.58,0.9,no llego el producto,Fisher-price
84,Baño,7,2020-09-09 01:43:41.626416,255.81,3.4,llego justo a tiempo,Don limpio
356,Ropa,11,2020-04-17 16:25:05.577087,304.51,2.6,me gusto,Hollister
449,Juguetes,2,2020-06-25 00:34:36.791556,70.79,4.5,justo lo que esperaba,Chicco
187,Hogar,5,2019-03-26 02:53:25.736692,314.99,2.2, la calidad no es la esperada,Colgate - palmolive
91,Hogar,11,2019-01-27 05:22:48.442158,62.27,3.0,llego justo a tiempo,Colgate - palmolive
86,Hogar,1,2020-01-26 11:51:44.366091,101.95,1.4,no cumple las expectativas,Henkel
216,Accesorios,7,2020-06-25 07:35:17.978907,257.7,1.4,no llego el producto,Ray-ban
213,Ferreteria,10,2020-02-22 04:41:28.457540,253.46,0.4,no cumple las expectativas,3M
261,Juguetes,11,2019-07-31 23:10:05.168943,465.24,2.0,no llego en tiempo,Fisher-price
28,Electronica,1,2019-05-05 12:27:38.966553,409.2,4.2,buena relacion calidad-precio,Sony
353,Cocina,7,2020-04-15 21:35:36.057441,317.12,2.3,no llego en tiempo,Oscar mayer
119,Ropa,8,2019-04-09 00:17:41.102858,193.53,4.9, muy bueno!,Roxy
32,Ferreteria,7,2020-09-02 19:55:20.779153,191.12,1.0,muy malo,Pavco
368,Electronica,9,2020-02-03 18:05:41.664912,281.41,3.6, muy bueno!,Sony
111,Cocina,9,2020-10-16 06:32:22.651187,292.98,2.2,el paquete llego en mal estado,Bimbo
182,Accesorios,5,2019-07-26 16:12:19.146798,289.46,4.1,justo lo que esperaba, Michael Kors
382,Juguetes,7,2019-12-24 06:32:52.552376,211.16,2.7,me gusto,Lego
385,Zapatos,5,2019-07-14 01:36:11.590054,351.6,4.8, muy bueno!,Skechers
236,Deporte,11,2020-05-11 16:14:12.382432,390.61,1.2,muy malo,Asics
460,Juguetes,1,2020-08-06 09:05:40.420574,153.4,1.7,el paquete llego en mal estado,Playmobile
276,Zapatos,10,2019-12-16 17:49:47.000109,37.35,2.3,el paquete llego en mal estado,Camper
20,Libros,6,2020-07-25 12:17:13.200350,463.15,1.2,muy malo,Platena Comic
185,Ropa,9,2019-09-26 06:34:02.311961,8.9,2.2,no llego en tiempo,Lacoste
431,Electronica,9,2019-09-11 07:24:36.921376,111.96,3.0,me gusto,General Electric
128,Hogar,3,2019-12-24 11:14:15.870965,243.01,3.8,justo lo que esperaba,Vileda
306,Juguetes,11,2019-05-01 03:42:38.809902,358.08,4.2,buena relacion calidad-precio,Playmobile
130,Electronica,7,2019-09-04 01:20:18.437488,485.23,4.4,justo lo que esperaba,Apple
35,Electronica,9,2019-05-16 12:34:34.391524,282.72,3.9, muy bueno!,Apple
406,Libros,7,2019-08-10 10:59:47.643401,248.48,2.7, cumple las expectativas,Platena Comic
46,Ferreteria,5,2020-07-19 05:07:35.950272,464.31,4.8, muy bueno!,Yale
225,Cocina,7,2019-11-07 07:12:46.361094,162.0,4.5,justo lo que esperaba,Nescafe
120,Zapatos,6,2019-05-11 01:44:47.383098,49.44,0.6,no llego el producto,New balance
455,Zapatos,2,2020-04-03 17:43:49.460471,373.25,1.8,el paquete llego en mal estado,Camper
98,Juguetes,5,2020-03-11 16:11:42.235685,19.27,2.7,me gusto,Playmobile
176,Zapatos,1,2019-03-20 10:35:38.708370,389.71,2.1,no llego en tiempo,Crocs
460,Libros,10,2020-06-27 17:33:30.782132,331.37,1.1,muy malo,Valdemar
371,Juguetes,6,2019-08-16 18:15:46.417578,441.88,2.6,llego justo a tiempo,Playmobile
438,Baño,5,2020-07-18 08:16:41.465079,312.09,1.7,el paquete llego en mal estado,KH7
233,Cocina,6,2019-12-13 06:30:02.954136,303.15,1.3,muy malo,Bimbo
320,Accesorios,8,2020-03-05 17:03:11.865132,390.66,4.5,buena relacion calidad-precio,Polo
259,Electronica,4,2019-05-14 02:42:03.377310,394.94,1.8, la calidad no es la esperada,Sony
30,Accesorios,11,2020-09-11 07:45:48.975472,256.47,0.7,no llego el producto,Polo
440,Accesorios,4,2020-11-01 21:38:18.671378,447.93,2.7,me gusto,Bimba y Lola
436,Zapatos,2,2020-11-09 06:47:27.882299,300.24,0.9,muy malo,New balance
439,Deporte,2,2019-01-13 11:49:48.278158,437.0,1.9,no llego en tiempo,Asics
447,Ropa,9,2020-07-12 00:02:58.845048,397.76,4.5, muy bueno!,Levis
358,Deporte,3,2020-08-07 06:03:10.676964,185.38,4.6,justo lo que esperaba,Asics
338,Ropa,1,2020-05-22 00:23:47.578060,5.34,3.1, cumple las expectativas,Levis
118,Deporte,8,2019-01-15 13:28:57.503961,211.89,2.8,llego justo a tiempo,Nike
17,Cocina,8,2020-02-01 06:34:59.402316,465.24,0.6,muy malo,Oscar mayer
54,Accesorios,11,2020-06-27 23:07:50.629901,431.42,4.1, muy bueno!,Ray-ban
55,Accesorios,8,2019-12-07 12:40:38.530629,434.48,3.9, muy bueno!,Polo
145,Deporte,2,2019-02-28 07:24:19.630498,322.76,3.2,llego justo a tiempo,Nike
310,Ropa,9,2020-07-21 06:19:15.827594,156.9,2.9, cumple las expectativas,Hollister
352,Zapatos,3,2020-11-21 17:22:41.835173,338.05,2.2,no llego en tiempo,Crocs
443,Baño,9,2019-10-28 08:15:55.783896,186.64,0.9,no llego el producto,Don limpio
444,Juguetes,10,2019-04-30 14:38:47.561135,381.64,0.6,no cumple las expectativas,Chicco
114,Ropa,8,2019-03-25 00:06:47.269441,371.1,1.7, la calidad no es la esperada,Hollister
30,Ferreteria,5,2020-08-29 12:58:17.417450,438.48,4.4, muy bueno!,Yale
266,Zapatos,9,2020-05-28 17:06:04.369898,381.41,3.8, muy bueno!,Camper
157,Electronica,6,2020-02-04 03:12:32.869650,451.18,1.6,no llego en tiempo,Samsumg
437,Baño,10,2019-08-05 07:41:28.763900,24.5,4.6,justo lo que esperaba,KH7
350,Ropa,8,2020-01-07 17:02:28.121065,454.58,2.2,no llego en tiempo,Roxy
111,Deporte,2,2020-05-19 08:59:30.437690,407.57,2.8, cumple las expectativas,Adidas
91,Zapatos,1,2019-07-31 07:35:31.455644,59.09,2.6,me gusto,Crocs
133,Juguetes,9,2019-11-29 16:32:41.909052,392.39,3.9, muy bueno!,Lego
150,Accesorios,4,2020-05-26 23:19:59.305815,457.05,4.3,buena relacion calidad-precio,Bimba y Lola
177,Electronica,10,2020-08-02 18:51:12.626645,494.36,0.7,muy malo,General Electric
445,Juguetes,1,2020-01-04 06:55:36.872079,144.84,0.7,no cumple las expectativas,Lego
306,Baño,9,2019-07-12 12:26:09.840354,50.37,2.2,no llego en tiempo,Cif
57,Deporte,8,2020-04-11 07:42:58.569323,132.12,1.1,muy malo,Under Armour
242,Electronica,11,2020-11-25 07:01:47.913348,217.6,4.5,buena relacion calidad-precio,Samsumg
462,Hogar,4,2019-12-07 12:39:12.008373,175.73,1.2,muy malo,Unilever
455,Ferreteria,8,2019-08-28 19:28:06.879341,138.27,3.0,me gusto,Sika
493,Baño,10,2019-07-11 23:56:18.336523,51.09,2.6,me gusto,KH7
369,Ferreteria,7,2019-03-23 08:04:42.934096,239.4,2.4,no llego en tiempo,Pavco
180,Cocina,8,2020-04-08 17:29:04.094278,301.14,3.2,me gusto,Nescafe
159,Zapatos,2,2019-09-24 09:13:10.321020,374.33,1.8,el paquete llego en mal estado,New balance
240,Accesorios,9,2020-11-28 19:46:49.226554,247.74,3.6, muy bueno!,Bimba y Lola
418,Zapatos,5,2019-07-04 05:01:52.209148,55.55,0.7,muy malo,Camper
44,Electronica,1,2019-08-12 03:12:15.050069,177.1,4.6, muy bueno!,Samsumg
456,Cocina,3,2019-09-02 20:44:01.218969,137.28,2.1,no llego en tiempo,Bimbo
211,Ferreteria,1,2019-12-18 00:59:34.073470,260.96,1.9,no llego en tiempo,3M
105,Juguetes,11,2019-02-02 06:06:24.297003,331.8,4.6,justo lo que esperaba,Fisher-price
439,Deporte,10,2020-09-11 02:36:58.900781,177.18,2.2, la calidad no es la esperada,Asics
390,Accesorios,7,2020-08-26 19:58:19.697196,445.45,0.7,no cumple las expectativas, Michael Kors
34,Libros,8,2019-02-14 04:36:57.542736,475.05,4.5,buena relacion calidad-precio,Platena Comic
33,Ferreteria,3,2019-02-08 19:46:16.750209,338.01,1.0,no llego el producto,Yale
366,Libros,4,2019-09-22 15:57:58.016861,351.99,2.7,llego justo a tiempo,Valdemar
241,Deporte,6,2020-06-25 01:59:46.603926,150.83,4.2,justo lo que esperaba,Nike
46,Ferreteria,4,2020-09-25 10:17:06.649261,437.76,0.9,no cumple las expectativas,Pavco
74,Juguetes,4,2020-01-05 05:35:47.367258,63.41,3.2,llego justo a tiempo,Fisher-price
440,Deporte,1,2020-04-30 10:07:30.889373,475.14,1.4,no llego el producto,Nike
65,Zapatos,11,2019-05-06 06:27:37.339369,334.53,3.0, cumple las expectativas,Skechers
441,Libros,9,2019-06-17 08:17:19.735547,64.18,0.5,no llego el producto,Platena Comic
318,Cocina,2,2020-03-19 13:02:41.703453,340.69,1.4,no cumple las expectativas,Oscar mayer
199,Baño,9,2020-02-14 02:46:12.406251,312.27,1.7,el paquete llego en mal estado,Don limpio
9,Ferreteria,6,2020-05-19 05:54:53.515776,458.5,4.7,justo lo que esperaba,Yale
177,Deporte,4,2019-11-22 13:34:26.173881,66.27,2.9,me gusto,Nike
97,Electronica,11,2019-04-09 23:13:35.442591,292.52,1.8,el paquete llego en mal estado,Apple
89,Baño,8,2019-08-04 20:09:37.731689,199.19,3.4,llego justo a tiempo,Cristasol
206,Libros,5,2020-10-06 20:17:31.021111,259.48,5.0,justo lo que esperaba,Ediciones Tomodomo
193,Accesorios,3,2020-06-13 08:05:47.052370,127.97,3.9,justo lo que esperaba,Ray-ban
281,Ferreteria,7,2020-05-27 03:31:03.049493,229.74,1.2,no llego el producto,Yale
273,Accesorios,4,2020-03-24 16:33:25.801458,115.54,3.6, muy bueno!,Ray-ban
223,Juguetes,10,2020-05-20 14:36:44.015594,31.32,0.2,muy malo,Fisher-price
324,Ferreteria,1,2019-12-09 19:11:57.072965,433.9,2.2,no llego en tiempo,Yale
93,Libros,4,2019-02-11 04:37:27.082861,55.71,2.1,el paquete llego en mal estado,Valdemar
327,Baño,10,2019-07-20 13:49:13.078837,103.87,1.3,no llego el producto,Cristasol
16,Ropa,6,2019-05-04 12:31:26.388312,176.98,1.0,muy malo,Lacoste
144,Electronica,5,2020-08-14 22:59:20.688851,238.14,1.4,no llego el producto,Sony
274,Ropa,5,2020-11-19 22:11:43.232398,57.87,3.0,llego justo a tiempo,Roxy
137,Ferreteria,3,2019-07-17 14:26:19.741040,159.25,0.5,no llego el producto,Pavco
240,Hogar,1,2020-03-11 05:35:25.151234,25.5,2.2, la calidad no es la esperada,Colgate - palmolive
139,Deporte,9,2020-11-14 08:34:50.500945,202.7,0.9,no cumple las expectativas,Nike
460,Ferreteria,5,2019-06-16 01:25:18.219748,408.31,2.8,me gusto,Sika
242,Libros,5,2020-02-09 07:09:53.542461,378.89,2.5, la calidad no es la esperada,Ediciones Tomodomo
368,Hogar,3,2019-08-19 15:57:20.834046,70.08,0.9,muy malo,Henkel
472,Juguetes,6,2019-03-10 03:42:17.926271,79.71,4.4,buena relacion calidad-precio,Fisher-price
351,Ropa,6,2020-08-08 16:34:56.355087,438.67,4.8,justo lo que esperaba,Roxy
396,Ferreteria,1,2020-08-04 17:53:00.043454,458.61,1.7, la calidad no es la esperada,3M
39,Zapatos,6,2019-03-14 10:25:00.580050,187.17,3.9,justo lo que esperaba,Crocs
496,Libros,4,2020-11-20 01:58:28.159543,270.72,0.5,muy malo,Ediciones Tomodomo
433,Zapatos,8,2020-06-09 08:42:40.082676,49.91,2.1, la calidad no es la esperada,New balance
302,Deporte,7,2019-08-31 08:46:16.159305,100.67,0.9,no cumple las expectativas,Under Armour
302,Ropa,7,2019-04-15 21:32:43.330991,242.71,1.3,muy malo,Lacoste
12,Libros,9,2019-10-15 16:00:01.077961,226.17,4.8,buena relacion calidad-precio,Valdemar
468,Hogar,10,2020-09-18 20:31:37.837439,475.61,5.0,buena relacion calidad-precio,Vileda
191,Deporte,3,2020-10-02 18:30:00.482023,291.26,0.4,no cumple las expectativas,Asics
226,Deporte,10,2019-09-04 11:20:20.362412,318.99,2.1, la calidad no es la esperada,Under Armour
343,Baño,10,2019-07-23 23:43:57.128168,410.3,3.3, cumple las expectativas,Cif
456,Hogar,4,2020-01-26 00:35:35.849153,267.11,3.1, cumple las expectativas,Colgate - palmolive
410,Ferreteria,5,2019-06-13 01:37:27.237517,158.84,4.5,buena relacion calidad-precio,Yale
460,Baño,6,2020-02-16 22:29:48.030828,356.28,2.0, la calidad no es la esperada,Cristasol
454,Electronica,10,2019-12-10 16:22:25.692041,317.0,1.9, la calidad no es la esperada,General Electric
184,Baño,1,2020-10-25 11:27:10.625033,305.37,4.2,justo lo que esperaba,Cristasol
268,Cocina,2,2020-11-10 21:07:14.368787,53.47,2.9,me gusto,Bimbo
207,Accesorios,10,2019-12-11 07:13:20.713723,434.78,4.8,justo lo que esperaba,Bimba y Lola
325,Juguetes,10,2019-12-05 06:46:51.068941,151.38,0.4,no llego el producto,Chicco
389,Deporte,5,2019-03-16 05:28:33.215521,372.8,3.9,buena relacion calidad-precio,Adidas
71,Deporte,4,2020-11-03 15:43:45.339651,341.4,0.7,no llego el producto,Nike
434,Ferreteria,7,2019-08-12 00:24:51.800565,65.55,4.4,justo lo que esperaba,Yale
299,Baño,6,2020-02-25 16:53:41.935968,303.19,3.6,justo lo que esperaba,Don limpio
392,Juguetes,9,2019-09-21 02:04:42.717947,365.32,2.3, la calidad no es la esperada,Chicco
228,Juguetes,3,2020-08-24 19:40:12.845296,351.47,2.5, la calidad no es la esperada,Lego
11,Accesorios,5,2019-11-03 04:29:08.373640,410.81,3.2,me gusto,Bimba y Lola
35,Accesorios,7,2019-07-19 17:58:17.259607,448.62,2.0,el paquete llego en mal estado,Bimba y Lola
362,Libros,6,2019-08-02 19:03:42.102285,144.51,2.7,llego justo a tiempo,Alianza Editorial
232,Juguetes,9,2020-08-22 20:30:07.389407,178.89,4.7, muy bueno!,Playmobile
414,Ropa,3,2019-06-24 13:00:51.967862,72.68,0.6,no cumple las expectativas,Hollister
24,Juguetes,3,2020-03-13 19:21:33.394624,160.05,1.0,no llego el producto,Fisher-price
478,Ferreteria,8,2019-12-01 05:16:10.418380,273.41,4.8,justo lo que esperaba,Sika
25,Accesorios,6,2019-08-01 15:08:57.984019,398.36,3.6,justo lo que esperaba,Polo
203,Cocina,11,2019-09-28 22:59:25.425383,194.34,1.0,muy malo,Bimbo
383,Ferreteria,1,2020-01-08 19:04:21.263131,21.36,0.5,no llego el producto,3M
102,Baño,9,2020-10-10 01:30:20.003884,427.79,2.0, la calidad no es la esperada,Cristasol
170,Hogar,9,2020-07-27 12:25:49.579983,468.18,1.7, la calidad no es la esperada,Colgate - palmolive
