,Comentarios
328,justo lo que esperaba
329,me gusto
330,buena relacion calidad-precio
331,muy malo
332,no cumple las expectativas
333,justo lo que esperaba
334,justo lo que esperaba
335,me gusto
336,no llego en tiempo
337,justo lo que esperaba
338,buena relacion calidad-precio
339,no llego el producto
340,muy malo
341,justo lo que esperaba
342,no llego el producto
343,me gusto
344,no llego en tiempo
345,muy malo
346,no llego el producto
347,no llego el producto
348,no cumple las expectativas
349,no cumple las expectativas
350, muy bueno!
351, la calidad no es la esperada
352,no llego en tiempo
353,no llego en tiempo
354,no llego en tiempo
355,el paquete llego en mal estado
356,no llego en tiempo
357,llego justo a tiempo
358,el paquete llego en mal estado
359, cumple las expectativas
360, cumple las expectativas
361,justo lo que esperaba
362,justo lo que esperaba
363,buena relacion calidad-precio
364,buena relacion calidad-precio
365,el paquete llego en mal estado
366,muy malo
367,no llego el producto
368,no llego el producto
369,no cumple las expectativas
370, la calidad no es la esperada
371,no cumple las expectativas
372,no llego el producto
373,llego justo a tiempo
374,no llego el producto
375, la calidad no es la esperada
376,muy malo
377, cumple las expectativas
378,no llego el producto
379,no cumple las expectativas
380, la calidad no es la esperada
381,muy malo
382,muy malo
383, cumple las expectativas
384,buena relacion calidad-precio
385,buena relacion calidad-precio
386,justo lo que esperaba
387,no cumple las expectativas
388,justo lo que esperaba
389, la calidad no es la esperada
390,muy malo
391,muy malo
392,no llego el producto
393,me gusto
394,buena relacion calidad-precio
395,no llego en tiempo
396,muy malo
397,no llego en tiempo
398,el paquete llego en mal estado
399,justo lo que esperaba
400, la calidad no es la esperada
401,no llego en tiempo
402, muy bueno!
403, muy bueno!
404,muy malo
405,muy malo
406,justo lo que esperaba
407,no cumple las expectativas
408,el paquete llego en mal estado
409,muy malo
410,no llego en tiempo
411, muy bueno!
412,me gusto
413,no cumple las expectativas
414,muy malo
415,muy malo
416, muy bueno!
417,el paquete llego en mal estado
418,llego justo a tiempo
419,me gusto
420,no cumple las expectativas
421,buena relacion calidad-precio
422,no llego el producto
423, muy bueno!
424,llego justo a tiempo
425,no cumple las expectativas
426,justo lo que esperaba
427,me gusto
428,muy malo
429,no cumple las expectativas
430,muy malo
431,justo lo que esperaba
432,no llego el producto
433, muy bueno!
434,muy malo
435, muy bueno!
436, la calidad no es la esperada
437,llego justo a tiempo
438,el paquete llego en mal estado
439,llego justo a tiempo
440,no llego en tiempo
441, muy bueno!
442,no cumple las expectativas
443,no cumple las expectativas
444,muy malo
445, la calidad no es la esperada
446,el paquete llego en mal estado
447,buena relacion calidad-precio
448,muy malo
449,no llego el producto
450, muy bueno!
451,llego justo a tiempo
452,muy malo
453,muy malo
454, muy bueno!
455,no llego el producto
456,justo lo que esperaba
457,me gusto
458, muy bueno!
459,el paquete llego en mal estado
460,muy malo
461, muy bueno!
462,no llego el producto
463, la calidad no es la esperada
464,buena relacion calidad-precio
465,buena relacion calidad-precio
466,no llego el producto
467,llego justo a tiempo
468,buena relacion calidad-precio
469,me gusto
470,el paquete llego en mal estado
471,buena relacion calidad-precio
472,el paquete llego en mal estado
473,el paquete llego en mal estado
474,llego justo a tiempo
475,muy malo
476,no llego en tiempo
477,buena relacion calidad-precio
478,no llego en tiempo
479,no llego el producto
480, muy bueno!
481,muy malo
482,no llego el producto
483,justo lo que esperaba
484,no llego en tiempo
485,justo lo que esperaba
486,muy malo
487, muy bueno!
488,muy malo
489,no cumple las expectativas
490, cumple las expectativas
491,no llego el producto
492,muy malo
493, cumple las expectativas
494,justo lo que esperaba
495,no cumple las expectativas
496, muy bueno!
497,justo lo que esperaba
498, muy bueno!
499,justo lo que esperaba
500,no llego el producto
501,no llego el producto
502,justo lo que esperaba
503,muy malo
504,no llego el producto
505, cumple las expectativas
506, la calidad no es la esperada
507,llego justo a tiempo
508,muy malo
509,justo lo que esperaba
510,justo lo que esperaba
511,el paquete llego en mal estado
512,no cumple las expectativas
513,buena relacion calidad-precio
514, la calidad no es la esperada
515,no cumple las expectativas
516,me gusto
517,llego justo a tiempo
518,muy malo
519, la calidad no es la esperada
520,el paquete llego en mal estado
521,no cumple las expectativas
522,el paquete llego en mal estado
523,no cumple las expectativas
524,no llego en tiempo
525,muy malo
526,muy malo
527,el paquete llego en mal estado
528,no llego el producto
529,muy malo
530,llego justo a tiempo
531,buena relacion calidad-precio
532,buena relacion calidad-precio
533, cumple las expectativas
534,me gusto
535, muy bueno!
536,llego justo a tiempo
537,justo lo que esperaba
538, muy bueno!
539,me gusto
540, la calidad no es la esperada
541,muy malo
542,me gusto
543, muy bueno!
544,no llego el producto
545,no llego en tiempo
546,llego justo a tiempo
547, muy bueno!
548, cumple las expectativas
549,muy malo
550,me gusto
551,no llego el producto
552,justo lo que esperaba
553,no llego el producto
554,no llego el producto
555, la calidad no es la esperada
556,justo lo que esperaba
557,no llego en tiempo
558,me gusto
559,no cumple las expectativas
560, muy bueno!
561,llego justo a tiempo
562,no llego en tiempo
563,no cumple las expectativas
564,no cumple las expectativas
565,no llego en tiempo
566,muy malo
567,justo lo que esperaba
568,no llego el producto
569,el paquete llego en mal estado
570,llego justo a tiempo
571,no llego el producto
572,no llego el producto
573,no cumple las expectativas
574,no cumple las expectativas
575,no cumple las expectativas
576,muy malo
577, muy bueno!
578,el paquete llego en mal estado
579,muy malo
580,no cumple las expectativas
581,justo lo que esperaba
582,justo lo que esperaba
583,no llego el producto
584,me gusto
585,el paquete llego en mal estado
586,muy malo
587,llego justo a tiempo
588, muy bueno!
589, la calidad no es la esperada
590, la calidad no es la esperada
591,justo lo que esperaba
592, cumple las expectativas
593,justo lo que esperaba
594,no llego el producto
595,muy malo
596,buena relacion calidad-precio
597,no llego en tiempo
598,no llego el producto
599,llego justo a tiempo
600,justo lo que esperaba
601, la calidad no es la esperada
602,no cumple las expectativas
603,no cumple las expectativas
604,muy malo
605, muy bueno!
606,no cumple las expectativas
607,no cumple las expectativas
608,no llego el producto
609,muy malo
610,justo lo que esperaba
611,no cumple las expectativas
612, cumple las expectativas
613, muy bueno!
614, cumple las expectativas
615, muy bueno!
616, la calidad no es la esperada
617,no cumple las expectativas
618, la calidad no es la esperada
619, muy bueno!
620,me gusto
621, muy bueno!
622, cumple las expectativas
623,me gusto
624,no llego el producto
625,el paquete llego en mal estado
626,buena relacion calidad-precio
627,justo lo que esperaba
628,no cumple las expectativas
629,buena relacion calidad-precio
630,justo lo que esperaba
631,justo lo que esperaba
632,no llego el producto
633,justo lo que esperaba
634,el paquete llego en mal estado
635, la calidad no es la esperada
636,no cumple las expectativas
637,el paquete llego en mal estado
638, muy bueno!
639, la calidad no es la esperada
640, la calidad no es la esperada
641, cumple las expectativas
642,no llego en tiempo
643,buena relacion calidad-precio
644,el paquete llego en mal estado
645,no cumple las expectativas
646, la calidad no es la esperada
647,no cumple las expectativas
648,el paquete llego en mal estado
649,muy malo
650,no cumple las expectativas
651,llego justo a tiempo
652,me gusto
653,justo lo que esperaba
654,no llego el producto
655, la calidad no es la esperada
656,muy malo
657,muy malo
658,no cumple las expectativas
659,justo lo que esperaba
660,no llego en tiempo
661,muy malo
662,muy malo
663,no llego el producto
664,no llego el producto
665,buena relacion calidad-precio
666, muy bueno!
667,buena relacion calidad-precio
668,justo lo que esperaba
669,me gusto
670, muy bueno!
671,no cumple las expectativas
672,justo lo que esperaba
673,no cumple las expectativas
674,no llego en tiempo
675,no llego el producto
676,llego justo a tiempo
677,llego justo a tiempo
678,justo lo que esperaba
679, la calidad no es la esperada
680, muy bueno!
681,el paquete llego en mal estado
682,no llego en tiempo
683,buena relacion calidad-precio
684,muy malo
685,buena relacion calidad-precio
686,me gusto
687,llego justo a tiempo
688,llego justo a tiempo
689,no cumple las expectativas
690, muy bueno!
691,no llego en tiempo
692,no llego el producto
693,el paquete llego en mal estado
694,me gusto
695,no llego el producto
696, muy bueno!
697, la calidad no es la esperada
698,llego justo a tiempo
699,el paquete llego en mal estado
700,justo lo que esperaba
701,no llego el producto
702, muy bueno!
703,justo lo que esperaba
704,me gusto
705,no llego en tiempo
706, cumple las expectativas
707,el paquete llego en mal estado
708,llego justo a tiempo
709,justo lo que esperaba
710,llego justo a tiempo
711,muy malo
712, muy bueno!
713,me gusto
714,muy malo
715, la calidad no es la esperada
716, muy bueno!
717,muy malo
718, muy bueno!
719,llego justo a tiempo
720, cumple las expectativas
721,justo lo que esperaba
722,no llego en tiempo
723, muy bueno!
724,no llego en tiempo
725,no llego en tiempo
726,llego justo a tiempo
727,muy malo
728, cumple las expectativas
729,el paquete llego en mal estado
730,me gusto
731,no cumple las expectativas
732,me gusto
733, la calidad no es la esperada
734,no llego el producto
735,llego justo a tiempo
736,justo lo que esperaba
737, la calidad no es la esperada
738,no cumple las expectativas
739,justo lo que esperaba
740,no llego en tiempo
741, muy bueno!
742,llego justo a tiempo
743,no cumple las expectativas
744,me gusto
745,no llego en tiempo
746, la calidad no es la esperada
747, cumple las expectativas
748, muy bueno!
749,el paquete llego en mal estado
750,buena relacion calidad-precio
751,muy malo
752,no llego el producto
753, muy bueno!
754,no llego en tiempo
755,buena relacion calidad-precio
756,no cumple las expectativas
757,buena relacion calidad-precio
758,el paquete llego en mal estado
759,no llego en tiempo
760,muy malo
761,no cumple las expectativas
762,no cumple las expectativas
763, cumple las expectativas
764,buena relacion calidad-precio
765, la calidad no es la esperada
766,llego justo a tiempo
767,no llego en tiempo
768,llego justo a tiempo
769, cumple las expectativas
770,llego justo a tiempo
771, muy bueno!
772,no cumple las expectativas
773,el paquete llego en mal estado
774,muy malo
775,no llego el producto
776,buena relacion calidad-precio
777,no llego el producto
778,muy malo
779,muy malo
780, la calidad no es la esperada
781,muy malo
782,no llego en tiempo
783,justo lo que esperaba
784,no llego en tiempo
785,buena relacion calidad-precio
786,justo lo que esperaba
787, muy bueno!
788,buena relacion calidad-precio
789,no cumple las expectativas
790, muy bueno!
791,buena relacion calidad-precio
792,no llego el producto
793,no llego en tiempo
794, muy bueno!
795,no llego en tiempo
796,no llego el producto
797,llego justo a tiempo
798,me gusto
799,muy malo
800,no cumple las expectativas
801,buena relacion calidad-precio
802,muy malo
803,llego justo a tiempo
804,el paquete llego en mal estado
805,no cumple las expectativas
806,llego justo a tiempo
807, muy bueno!
808,no llego en tiempo
809,no cumple las expectativas
810,muy malo
811,no cumple las expectativas
812,muy malo
813, muy bueno!
814,justo lo que esperaba
815,no cumple las expectativas
816, muy bueno!
817, la calidad no es la esperada
818, la calidad no es la esperada
819, muy bueno!
820,no cumple las expectativas
821,el paquete llego en mal estado
822,no cumple las expectativas
823,justo lo que esperaba
824,justo lo que esperaba
825,justo lo que esperaba
826,buena relacion calidad-precio
827,buena relacion calidad-precio
828,buena relacion calidad-precio
829,justo lo que esperaba
830, cumple las expectativas
831, la calidad no es la esperada
832,el paquete llego en mal estado
833,muy malo
834,no cumple las expectativas
835,buena relacion calidad-precio
836,buena relacion calidad-precio
837,el paquete llego en mal estado
838,no llego el producto
839, muy bueno!
840,buena relacion calidad-precio
841,me gusto
842, muy bueno!
843,muy malo
844, muy bueno!
845,me gusto
846, muy bueno!
847,no llego el producto
848,no cumple las expectativas
849,justo lo que esperaba
850,no llego en tiempo
851,buena relacion calidad-precio
852,no llego en tiempo
853, muy bueno!
854,muy malo
855,no llego el producto
856,no cumple las expectativas
857,muy malo
858, cumple las expectativas
859,me gusto
860, la calidad no es la esperada
861, la calidad no es la esperada
862,buena relacion calidad-precio
863,no cumple las expectativas
864, la calidad no es la esperada
865,llego justo a tiempo
866,llego justo a tiempo
867, la calidad no es la esperada
868, cumple las expectativas
869,no cumple las expectativas
870,muy malo
871, muy bueno!
872,el paquete llego en mal estado
873,muy malo
874, cumple las expectativas
875,muy malo
876, la calidad no es la esperada
877,llego justo a tiempo
878,justo lo que esperaba
879,no llego el producto
880,llego justo a tiempo
881,no llego el producto
882,no cumple las expectativas
883, muy bueno!
884,me gusto
885,no cumple las expectativas
886,justo lo que esperaba
887,no llego en tiempo
888, la calidad no es la esperada
889,muy malo
890, la calidad no es la esperada
891,el paquete llego en mal estado
892,justo lo que esperaba
893,muy malo
894,llego justo a tiempo
895,llego justo a tiempo
896,no llego el producto
897,muy malo
898,muy malo
899,justo lo que esperaba
900,no cumple las expectativas
901,justo lo que esperaba
902, cumple las expectativas
903,llego justo a tiempo
904,el paquete llego en mal estado
905, la calidad no es la esperada
906,no llego en tiempo
907,me gusto
908,no llego el producto
909,me gusto
910,no llego el producto
911,buena relacion calidad-precio
912, cumple las expectativas
913,no llego en tiempo
914, cumple las expectativas
915,el paquete llego en mal estado
916,no llego en tiempo
917, muy bueno!
918,no cumple las expectativas
919, cumple las expectativas
920,me gusto
921, la calidad no es la esperada
922,muy malo
923, muy bueno!
924,llego justo a tiempo
925,el paquete llego en mal estado
926, cumple las expectativas
927,me gusto
928,me gusto
929, cumple las expectativas
930, la calidad no es la esperada
931,muy malo
932,no cumple las expectativas
933, cumple las expectativas
934,no llego en tiempo
935,no llego el producto
936,muy malo
937,justo lo que esperaba
938, muy bueno!
939,muy malo
940,no llego el producto
941,llego justo a tiempo
942,no llego el producto
943,el paquete llego en mal estado
944,el paquete llego en mal estado
945, cumple las expectativas
946,no llego en tiempo
947, muy bueno!
948,justo lo que esperaba
949,no llego el producto
950,no llego en tiempo
951, muy bueno!
952,muy malo
953,no llego el producto
954, la calidad no es la esperada
955, cumple las expectativas
956,buena relacion calidad-precio
957,buena relacion calidad-precio
958,justo lo que esperaba
959,no cumple las expectativas
960, la calidad no es la esperada
961,muy malo
962,el paquete llego en mal estado
963,buena relacion calidad-precio
964,buena relacion calidad-precio
965,llego justo a tiempo
966,muy malo
967,justo lo que esperaba
968,justo lo que esperaba
969, muy bueno!
970, muy bueno!
971,me gusto
972,buena relacion calidad-precio
973,no cumple las expectativas
974,no cumple las expectativas
975,no llego el producto
976,no llego el producto
977, cumple las expectativas
978,justo lo que esperaba
979,muy malo
980,muy malo
981,no llego el producto
982, la calidad no es la esperada
983,muy malo
984,muy malo
985, muy bueno!
986,el paquete llego en mal estado
987,no llego el producto
988,no cumple las expectativas
989,buena relacion calidad-precio
990, muy bueno!
991,no cumple las expectativas
992,muy malo
993,llego justo a tiempo
994,no cumple las expectativas
995,no llego en tiempo
996,muy malo
997, muy bueno!
998,no cumple las expectativas
999, muy bueno!
1000,buena relacion calidad-precio
1001,llego justo a tiempo
1002,me gusto
1003,justo lo que esperaba
1004,muy malo
1005, la calidad no es la esperada
1006,muy malo
1007,me gusto
1008,muy malo
1009,justo lo que esperaba
1010,llego justo a tiempo
1011, muy bueno!
1012,justo lo que esperaba
1013,no cumple las expectativas
1014, muy bueno!
1015,no cumple las expectativas
1016,no llego en tiempo
1017,el paquete llego en mal estado
1018,no llego el producto
1019, cumple las expectativas
1020,el paquete llego en mal estado
1021, muy bueno!
1022,no llego el producto
1023,buena relacion calidad-precio
1024, muy bueno!
1025,no llego el producto
1026, muy bueno!
1027, la calidad no es la esperada
1028, muy bueno!
1029,buena relacion calidad-precio
1030,justo lo que esperaba
1031, la calidad no es la esperada
1032,no llego en tiempo
1033,el paquete llego en mal estado
1034,el paquete llego en mal estado
1035,justo lo que esperaba
1036, muy bueno!
1037,me gusto
1038,no llego el producto
1039, muy bueno!
1040,no cumple las expectativas
1041,muy malo
1042,no llego el producto
1043,justo lo que esperaba
1044,me gusto
1045,el paquete llego en mal estado
1046,justo lo que esperaba
1047,muy malo
1048,no llego el producto
1049,no llego el producto
1050, muy bueno!
1051,no cumple las expectativas
1052,muy malo
1053, muy bueno!
1054,no cumple las expectativas
1055,buena relacion calidad-precio
1056, muy bueno!
1057, cumple las expectativas
1058, muy bueno!
1059, cumple las expectativas
1060, la calidad no es la esperada
1061,no llego en tiempo
1062, muy bueno!
1063,no cumple las expectativas
1064,el paquete llego en mal estado
1065,justo lo que esperaba
1066,muy malo
1067,buena relacion calidad-precio
1068, muy bueno!
1069,llego justo a tiempo
1070,no llego el producto
1071,no llego en tiempo
1072,el paquete llego en mal estado
1073, cumple las expectativas
1074, muy bueno!
1075, muy bueno!
1076, la calidad no es la esperada
1077, cumple las expectativas
1078,muy malo
1079,el paquete llego en mal estado
1080,el paquete llego en mal estado
1081,el paquete llego en mal estado
1082,no llego el producto
1083,justo lo que esperaba
1084,justo lo que esperaba
1085, cumple las expectativas
1086,no cumple las expectativas
1087, la calidad no es la esperada
1088,no llego en tiempo
1089,no cumple las expectativas
1090,el paquete llego en mal estado
1091,justo lo que esperaba
1092, cumple las expectativas
1093,justo lo que esperaba
1094,justo lo que esperaba
1095,me gusto
1096, muy bueno!
1097,no cumple las expectativas
1098,no cumple las expectativas
1099,no llego el producto
1100,no llego el producto
1101,justo lo que esperaba
1102,no llego en tiempo
1103,muy malo
1104,no cumple las expectativas
1105,me gusto
1106,llego justo a tiempo
1107,muy malo
1108, muy bueno!
1109,justo lo que esperaba
1110, la calidad no es la esperada
1111,no cumple las expectativas
1112,no llego el producto
1113,justo lo que esperaba
1114,no llego el producto
1115, la calidad no es la esperada
1116,buena relacion calidad-precio
1117, la calidad no es la esperada
1118,llego justo a tiempo
1119,muy malo
1120,no llego el producto
1121,justo lo que esperaba
1122,no cumple las expectativas
1123,buena relacion calidad-precio
1124,no cumple las expectativas
1125,no llego en tiempo
1126, cumple las expectativas
1127,no llego en tiempo
1128,muy malo
1129,no llego el producto
1130,me gusto
1131,justo lo que esperaba
1132,no llego en tiempo
1133,no llego en tiempo
1134,justo lo que esperaba
1135, la calidad no es la esperada
1136,el paquete llego en mal estado
1137, muy bueno!
1138,no llego el producto
1139, cumple las expectativas
1140, cumple las expectativas
1141,me gusto
1142,no cumple las expectativas
1143,llego justo a tiempo
1144, cumple las expectativas
1145,el paquete llego en mal estado
1146,buena relacion calidad-precio
1147,justo lo que esperaba
1148, muy bueno!
1149, muy bueno!
1150,no llego el producto
1151,buena relacion calidad-precio
1152,muy malo
1153,justo lo que esperaba
1154,no cumple las expectativas
1155,no llego el producto
1156,no cumple las expectativas
1157,justo lo que esperaba
1158,no cumple las expectativas
1159,llego justo a tiempo
1160,no llego el producto
1161,muy malo
1162,no llego el producto
1163, cumple las expectativas
1164,no llego el producto
1165,no cumple las expectativas
1166,justo lo que esperaba
1167, la calidad no es la esperada
1168, muy bueno!
1169, muy bueno!
1170, muy bueno!
1171,muy malo
1172,llego justo a tiempo
1173,muy malo
1174,no cumple las expectativas
1175,me gusto
1176,no llego el producto
1177,buena relacion calidad-precio
1178, muy bueno!
1179, la calidad no es la esperada
1180,muy malo
1181, cumple las expectativas
1182, cumple las expectativas
1183,buena relacion calidad-precio
1184,no llego el producto
1185,justo lo que esperaba
1186, muy bueno!
1187,me gusto
1188,no cumple las expectativas
1189, muy bueno!
1190,me gusto
1191,justo lo que esperaba
1192,llego justo a tiempo
1193,no llego en tiempo
1194,buena relacion calidad-precio
1195,no cumple las expectativas
1196, muy bueno!
1197, la calidad no es la esperada
1198,me gusto
1199,llego justo a tiempo
1200,no llego el producto
1201, cumple las expectativas
1202, muy bueno!
1203, cumple las expectativas
1204, muy bueno!
1205,no llego el producto
1206, muy bueno!
1207,muy malo
1208,justo lo que esperaba
1209,buena relacion calidad-precio
1210,no llego en tiempo
1211,llego justo a tiempo
1212,justo lo que esperaba
1213,justo lo que esperaba
1214,el paquete llego en mal estado
1215,justo lo que esperaba
1216,llego justo a tiempo
1217,no cumple las expectativas
1218,buena relacion calidad-precio
1219,el paquete llego en mal estado
1220,justo lo que esperaba
1221,muy malo
1222,no cumple las expectativas
1223,muy malo
1224, la calidad no es la esperada
1225,no llego el producto
1226,no llego el producto
1227,justo lo que esperaba
1228,buena relacion calidad-precio
1229, la calidad no es la esperada
1230,no cumple las expectativas
1231,llego justo a tiempo
1232,no llego en tiempo
1233,me gusto
1234,no llego el producto
1235, cumple las expectativas
1236,buena relacion calidad-precio
1237, muy bueno!
1238, muy bueno!
1239,muy malo
1240,no cumple las expectativas
1241, la calidad no es la esperada
1242,buena relacion calidad-precio
1243,buena relacion calidad-precio
1244,el paquete llego en mal estado
1245,muy malo
1246,llego justo a tiempo
1247,me gusto
1248,justo lo que esperaba
1249, la calidad no es la esperada
1250, muy bueno!
1251,no llego en tiempo
1252,me gusto
1253,no llego en tiempo
1254,no llego en tiempo
1255, muy bueno!
1256,no llego el producto
1257,me gusto
1258,llego justo a tiempo
1259,justo lo que esperaba
1260,buena relacion calidad-precio
1261,no llego en tiempo
1262,me gusto
1263,justo lo que esperaba
1264,muy malo
1265, cumple las expectativas
1266, cumple las expectativas
1267, cumple las expectativas
1268, muy bueno!
1269,buena relacion calidad-precio
1270, cumple las expectativas
1271,me gusto
1272,no llego en tiempo
1273, muy bueno!
1274,el paquete llego en mal estado
1275,no llego el producto
1276,llego justo a tiempo
1277,buena relacion calidad-precio
