Usuario,Categorias,Numero_articulos,Fecha,Precio,Valoracion,Comentarios,Proveedores,Ciudad
6,Hogar,4,Otoño,299.32,4.7, muy bueno!,Colgate - palmolive,Valladolid
6,Ferreteria,5,Otoño,367.11,3.8,justo lo que esperaba,Yale,Valladolid
6,Ferreteria,7,Verano,173.26,4.4,buena relacion calidad-precio,Pavco,Valladolid
7,Juguetes,6,Primavera,166.95,4.6, muy bueno!,Fisher-price,Alicante
7,Zapatos,1,Verano,405.15,1.4,muy malo,New balance,Alicante
7,Zapatos,2,Primavera,194.03,1.3,no llego el producto,New balance,Alicante
7,Juguetes,6,Verano,382.2,4.6,justo lo que esperaba,Lego,Alicante
7,Accesorios,2,Primavera,11.98,3.3, cumple las expectativas,Bimba y Lola,Alicante
7,Ferreteria,1,Primavera,145.55,1.7, la calidad no es la esperada,Pavco,Alicante
7,Zapatos,1,Otoño,163.81,2.0,el paquete llego en mal estado,Crocs,Alicante
7,Accesorios,9,Primavera,413.35,2.8,llego justo a tiempo,Bimba y Lola,Alicante
7,Libros,6,Otoño,158.5,3.1,me gusto,Alianza Editorial,Alicante
7,Accesorios,9,Primavera,20.25,0.9,muy malo,Polo,Alicante
7,Ferreteria,1,Primavera,449.35,2.7,me gusto,Pavco,Alicante
7,Zapatos,6,Primavera,205.55,1.1,no llego el producto,Crocs,Alicante
8,Deporte,9,Verano,52.82,2.9, cumple las expectativas,Under Armour,Alicante
8,Zapatos,2,Primavera,132.29,0.5,muy malo,Crocs,Alicante
8,Ropa,2,Primavera,243.33,1.2,no llego el producto,Levis,Alicante
8,Baño,5,Primavera,87.63,1.0,muy malo,Cristasol,Alicante
8,Libros,1,Primavera,214.03,3.3,me gusto,Valdemar,Alicante
8,Ropa,8,Primavera,162.64,3.8,buena relacion calidad-precio,Lacoste,Alicante
8,Ferreteria,8,Primavera,163.98,4.3,justo lo que esperaba,Yale,Alicante
8,Ferreteria,9,Primavera,70.62,0.6,no llego el producto,3M,Alicante
8,Baño,1,Primavera,301.22,1.9,no llego en tiempo,Don limpio,Alicante
8,Electronica,9,Primavera,78.42,2.9,llego justo a tiempo,Sony,Alicante
8,Accesorios,10,Primavera,374.87,1.7,no llego en tiempo,Polo,Alicante
8,Zapatos,1,Primavera,488.63,3.3,llego justo a tiempo,Camper,Alicante
8,Hogar,10,Primavera,181.6,2.6,me gusto,Vileda,Alicante
8,Ferreteria,8,Primavera,140.66,0.6,no llego el producto,Yale,Alicante
9,Accesorios,10,Primavera,427.91,1.8,el paquete llego en mal estado,Polo,Madrid 
9,Ferreteria,6,Primavera,458.5,4.7,justo lo que esperaba,Yale,Madrid 
9,Ferreteria,3,Primavera,101.92,1.5,muy malo,Yale,Madrid 
9,Ropa,6,Primavera,72.32,3.2,llego justo a tiempo,Roxy,Madrid 
9,Baño,9,Verano,343.8,0.6,no cumple las expectativas,Don limpio,Madrid 
9,Libros,1,Invierno,334.3,0.0,muy malo,Alianza Editorial,Madrid 
9,Accesorios,8,Otoño,298.01,2.3, la calidad no es la esperada, Michael Kors,Madrid 
9,Libros,1,Verano,362.82,1.7, la calidad no es la esperada,Platena Comic,Madrid 
9,Electronica,4,Otoño,174.15,4.3, muy bueno!,Apple,Madrid 
9,Hogar,5,Primavera,349.0,2.0, la calidad no es la esperada,Vileda,Madrid 
9,Cocina,4,Primavera,417.13,0.4,no llego el producto,Bimbo,Madrid 
9,Ferreteria,1,Otoño,197.77,3.4,llego justo a tiempo,Yale,Madrid 
9,Baño,3,Primavera,498.61,2.3,no llego en tiempo,Don limpio,Madrid 
9,Deporte,8,Primavera,123.87,2.8,llego justo a tiempo,Asics,Madrid 
9,Libros,3,Primavera,47.9,2.6,me gusto,Platena Comic,Madrid 
9,Baño,11,Otoño,133.85,3.4,me gusto,Don limpio,Madrid 
9,Juguetes,9,Verano,11.91,3.3,llego justo a tiempo,Fisher-price,Madrid 
9,Hogar,5,Otoño,314.23,3.6,justo lo que esperaba,Colgate - palmolive,Madrid 
9,Baño,7,Primavera,96.37,1.9,el paquete llego en mal estado,Cristasol,Madrid 
9,Ferreteria,10,Otoño,430.46,2.5,el paquete llego en mal estado,Pavco,Madrid 
9,Deporte,11,Otoño,133.84,0.0,muy malo,Under Armour,Madrid 
9,Ropa,8,Primavera,137.98,2.4,el paquete llego en mal estado,Lacoste,Madrid 
9,Ferreteria,2,Primavera,47.54,2.5,el paquete llego en mal estado,Yale,Madrid 
9,Juguetes,11,Verano,32.66,1.7,no llego en tiempo,Lego,Madrid 
9,Ropa,6,Verano,470.02,3.0,me gusto,Roxy,Madrid 
10,Accesorios,11,Primavera,267.34,2.2, la calidad no es la esperada,Ray-ban,Palma
10,Baño,1,Otoño,96.12,3.6, muy bueno!,Cristasol,Palma
10,Ropa,7,Verano,324.56,3.2, cumple las expectativas,Levis,Palma
10,Electronica,2,Primavera,279.39,1.5,muy malo,Sony,Palma
10,Electronica,1,Otoño,122.74,1.8,no llego en tiempo,Apple,Palma
10,Zapatos,1,Primavera,106.17,3.4,me gusto,Camper,Palma
10,Hogar,10,Otoño,317.29,4.3, muy bueno!,Vileda,Palma
10,Deporte,4,Primavera,140.6,3.7, muy bueno!,Under Armour,Palma
10,Accesorios,8,Primavera,188.58,3.2,me gusto,Ray-ban,Palma
10,Deporte,9,Primavera,210.24,1.6,no llego en tiempo,Under Armour,Palma
10,Libros,9,Primavera,313.94,3.5, cumple las expectativas,Platena Comic,Palma
10,Cocina,8,Primavera,255.19,4.0,buena relacion calidad-precio,Nescafe,Palma
10,Deporte,7,Primavera,29.0,1.3,muy malo,Adidas,Palma
10,Juguetes,11,Otoño,328.52,3.4, cumple las expectativas,Fisher-price,Palma
10,Libros,3,Primavera,290.39,4.3,buena relacion calidad-precio,Valdemar,Palma
10,Juguetes,11,Verano,357.09,2.1, la calidad no es la esperada,Chicco,Palma
10,Accesorios,2,Primavera,221.61,0.3,muy malo,Polo,Palma
10,Accesorios,5,Primavera,497.39,2.8,llego justo a tiempo,Bimba y Lola,Palma
10,Cocina,3,Verano,485.17,2.6, cumple las expectativas,Oscar mayer,Palma
11,Accesorios,5,Otoño,410.81,3.2,me gusto,Bimba y Lola,Cordoba
11,Hogar,6,Primavera,494.31,3.9,justo lo que esperaba,Unilever,Cordoba
11,Ferreteria,10,Otoño,10.38,0.5,muy malo,Yale,Cordoba
11,Libros,4,Otoño,344.5,1.2,no cumple las expectativas,Alianza Editorial,Cordoba
11,Hogar,9,Verano,111.1,3.3, cumple las expectativas,Henkel,Cordoba
11,Ropa,1,Primavera,488.57,0.3,no cumple las expectativas,Roxy,Cordoba
11,Accesorios,9,Invierno,432.39,1.1,no llego el producto,Polo,Cordoba
11,Zapatos,5,Primavera,431.86,0.5,no cumple las expectativas,Crocs,Cordoba
11,Hogar,9,Primavera,350.16,4.0, muy bueno!,Vileda,Cordoba
11,Libros,3,Verano,138.57,0.5,no cumple las expectativas,Valdemar,Cordoba
11,Cocina,7,Primavera,215.01,0.5,no cumple las expectativas,Oscar mayer,Cordoba
11,Accesorios,7,Primavera,461.04,0.6,no cumple las expectativas, Michael Kors,Cordoba
11,Deporte,5,Primavera,360.1,4.3,justo lo que esperaba,Asics,Cordoba
11,Ferreteria,5,Primavera,442.93,0.7,muy malo,Pavco,Cordoba
11,Hogar,5,Verano,469.55,3.8,justo lo que esperaba,Henkel,Cordoba
11,Baño,11,Verano,448.66,0.4,muy malo,Don limpio,Cordoba
11,Juguetes,1,Primavera,408.56,0.1,muy malo,Playmobile,Cordoba
11,Accesorios,9,Verano,372.47,3.1, cumple las expectativas,Bimba y Lola,Cordoba
11,Ropa,1,Primavera,403.85,4.6,justo lo que esperaba,Hollister,Cordoba
11,Baño,3,Otoño,202.02,0.1,muy malo,KH7,Cordoba
11,Cocina,2,Verano,94.53,0.8,no llego el producto,Bimbo,Cordoba
11,Libros,8,Verano,262.92,0.5,muy malo,Platena Comic,Cordoba
12,Cocina,9,Otoño,497.93,1.6, la calidad no es la esperada,Bimbo,Vigo
12,Libros,9,Otoño,226.17,4.8,buena relacion calidad-precio,Valdemar,Vigo
12,Cocina,11,Verano,132.99,2.3, la calidad no es la esperada,Oscar mayer,Vigo
12,Juguetes,7,Verano,95.15,4.8,justo lo que esperaba,Playmobile,Vigo
12,Juguetes,8,Otoño,445.9,3.9, muy bueno!,Lego,Vigo
12,Ferreteria,1,Primavera,229.9,0.7,muy malo,Yale,Vigo
12,Electronica,6,Primavera,90.18,0.6,no cumple las expectativas,Apple,Vigo
12,Ropa,11,Verano,443.49,1.8,el paquete llego en mal estado,Levis,Vigo
12,Zapatos,4,Primavera,57.53,2.9, cumple las expectativas,Crocs,Vigo
12,Ferreteria,2,Primavera,393.67,1.5,muy malo,3M,Vigo
12,Baño,8,Otoño,199.53,0.9,no cumple las expectativas,KH7,Vigo
12,Deporte,3,Verano,473.29,2.1, la calidad no es la esperada,Adidas,Vigo
12,Baño,8,Primavera,224.27,2.4,no llego en tiempo,Cristasol,Vigo
12,Accesorios,5,Primavera,365.34,3.7, muy bueno!,Ray-ban,Vigo
12,Hogar,8,Otoño,212.31,0.9,no llego el producto,Henkel,Vigo
12,Hogar,6,Otoño,174.54,3.2, cumple las expectativas,Unilever,Vigo
12,Juguetes,8,Primavera,416.09,3.5, cumple las expectativas,Fisher-price,Vigo
12,Hogar,5,Primavera,232.96,1.3,muy malo,Colgate - palmolive,Vigo
12,Juguetes,8,Otoño,435.78,4.9,justo lo que esperaba,Fisher-price,Vigo
12,Hogar,9,Verano,152.83,2.0,no llego en tiempo,Vileda,Vigo
12,Libros,11,Verano,310.71,0.1,muy malo,Valdemar,Vigo
13,Ferreteria,8,Primavera,435.77,0.5,muy malo,Sika,Sevilla
13,Hogar,10,Primavera,242.28,0.1,no cumple las expectativas,Unilever,Sevilla
13,Ropa,9,Otoño,446.2,1.3,muy malo,Hollister,Sevilla
13,Electronica,3,Primavera,197.02,1.9,no llego en tiempo,Apple,Sevilla
13,Zapatos,3,Primavera,493.85,4.7,buena relacion calidad-precio,New balance,Sevilla
13,Zapatos,7,Otoño,480.48,4.4, muy bueno!,Skechers,Sevilla
13,Ferreteria,7,Verano,89.33,3.9,buena relacion calidad-precio,Sika,Sevilla
13,Electronica,3,Primavera,423.78,4.7,justo lo que esperaba,Apple,Sevilla
13,Ropa,6,Primavera,445.59,1.3,muy malo,Lacoste,Sevilla
13,Ropa,10,Otoño,477.3,4.7,justo lo que esperaba,Roxy,Sevilla
13,Cocina,8,Primavera,147.95,3.5, cumple las expectativas,Flora,Sevilla
13,Ropa,8,Otoño,189.36,4.1,justo lo que esperaba,Lacoste,Sevilla
13,Ropa,5,Primavera,289.76,1.4,no cumple las expectativas,Levis,Sevilla
13,Deporte,10,Verano,8.85,0.1,muy malo,Asics,Sevilla
13,Deporte,2,Otoño,184.5,2.9,me gusto,Under Armour,Sevilla
13,Ferreteria,3,Primavera,474.0,2.9,me gusto,Yale,Sevilla
13,Libros,7,Primavera,194.74,1.2,muy malo,Valdemar,Sevilla
13,Cocina,1,Primavera,49.43,1.9, la calidad no es la esperada,Oscar mayer,Sevilla
13,Accesorios,10,Primavera,206.27,0.4,no llego el producto,Ray-ban,Sevilla
13,Deporte,1,Otoño,38.27,1.4,no llego el producto,Under Armour,Sevilla
13,Cocina,1,Primavera,485.42,3.8,buena relacion calidad-precio,Nescafe,Sevilla
13,Hogar,7,Primavera,358.82,1.7,el paquete llego en mal estado,Unilever,Sevilla
13,Electronica,1,Primavera,486.33,2.3,el paquete llego en mal estado,Sony,Sevilla
13,Ropa,10,Otoño,389.11,3.6,justo lo que esperaba,Hollister,Sevilla
14,Ferreteria,3,Primavera,118.46,1.9, la calidad no es la esperada,Sika,Cordoba
14,Deporte,8,Primavera,157.02,0.7,no llego el producto,Asics,Cordoba
14,Ferreteria,8,Primavera,86.57,0.4,no llego el producto,Yale,Cordoba
14,Ferreteria,4,Verano,224.91,0.4,no cumple las expectativas,Yale,Cordoba
14,Deporte,10,Primavera,80.2,0.5,no llego el producto,Adidas,Cordoba
14,Accesorios,2,Verano,474.39,1.2,no llego el producto,Ray-ban,Cordoba
14,Accesorios,5,Otoño,306.02,0.9,muy malo, Michael Kors,Cordoba
14,Libros,6,Verano,342.28,2.0,el paquete llego en mal estado,Platena Comic,Cordoba
14,Accesorios,11,Primavera,453.14,0.8,no cumple las expectativas,Polo,Cordoba
14,Cocina,6,Otoño,468.94,0.6,no llego el producto,Oscar mayer,Cordoba
14,Deporte,3,Primavera,172.25,3.1, cumple las expectativas,Adidas,Cordoba
14,Hogar,7,Verano,419.75,3.0, cumple las expectativas,Vileda,Cordoba
14,Deporte,2,Verano,313.98,1.0,no cumple las expectativas,Nike,Cordoba
14,Zapatos,3,Primavera,331.55,4.7, muy bueno!,Camper,Cordoba
15,Zapatos,3,Otoño,452.21,3.5, cumple las expectativas,Skechers,Alicante
15,Ferreteria,4,Verano,350.0,3.1,llego justo a tiempo,Sika,Alicante
15,Deporte,1,Verano,14.21,3.3,llego justo a tiempo,Nike,Alicante
15,Electronica,2,Primavera,44.14,3.7,buena relacion calidad-precio,Apple,Alicante
15,Cocina,5,Primavera,171.48,3.8, muy bueno!,Flora,Alicante
15,Cocina,2,Primavera,345.22,1.7, la calidad no es la esperada,Oscar mayer,Alicante
15,Ferreteria,6,Primavera,46.74,4.0,justo lo que esperaba,Yale,Alicante
15,Electronica,10,Primavera,496.23,0.7,no cumple las expectativas,Apple,Alicante
15,Cocina,6,Otoño,124.63,2.9,llego justo a tiempo,Flora,Alicante
15,Ferreteria,10,Verano,190.79,4.9,justo lo que esperaba,Sika,Alicante
15,Juguetes,1,Primavera,40.25,3.1, cumple las expectativas,Playmobile,Alicante
15,Libros,9,Primavera,278.51,3.2,llego justo a tiempo,Platena Comic,Alicante
15,Baño,2,Primavera,216.01,0.6,muy malo,Cif,Alicante
15,Juguetes,8,Verano,295.56,0.3,no llego el producto,Playmobile,Alicante
15,Cocina,7,Primavera,463.77,5.0,buena relacion calidad-precio,Bimbo,Alicante
15,Accesorios,5,Primavera,472.11,1.4,muy malo,Bimba y Lola,Alicante
16,Ropa,6,Primavera,176.98,1.0,muy malo,Lacoste,Murcia
16,Zapatos,8,Otoño,190.44,3.9,buena relacion calidad-precio,Camper,Murcia
16,Libros,3,Otoño,189.46,1.5,muy malo,Valdemar,Murcia
16,Electronica,9,Primavera,154.56,4.1,justo lo que esperaba,Samsumg,Murcia
16,Accesorios,2,Verano,413.98,0.1,no cumple las expectativas,Ray-ban,Murcia
16,Ropa,2,Verano,377.94,3.4, cumple las expectativas,Hollister,Murcia
16,Ferreteria,9,Otoño,482.69,3.3,me gusto,Sika,Murcia
16,Zapatos,11,Primavera,238.54,3.0, cumple las expectativas,Crocs,Murcia
16,Cocina,2,Primavera,48.99,2.8,llego justo a tiempo,Oscar mayer,Murcia
16,Accesorios,5,Primavera,146.59,2.4,no llego en tiempo,Bimba y Lola,Murcia
17,Baño,4,Primavera,23.29,4.4,justo lo que esperaba,KH7,Valencia
17,Cocina,8,Primavera,465.24,0.6,muy malo,Oscar mayer,Valencia
17,Juguetes,10,Primavera,462.1,1.4,no llego el producto,Lego,Valencia
17,Ferreteria,6,Otoño,162.25,4.9,justo lo que esperaba,Pavco,Valencia
17,Ferreteria,2,Otoño,375.06,0.8,no cumple las expectativas,3M,Valencia
17,Libros,3,Otoño,253.29,1.8,el paquete llego en mal estado,Ediciones Tomodomo,Valencia
17,Ferreteria,10,Verano,317.23,1.3,muy malo,3M,Valencia
17,Baño,10,Primavera,239.44,4.0, muy bueno!,Don limpio,Valencia
17,Electronica,11,Primavera,175.17,1.0,no cumple las expectativas,Apple,Valencia
17,Accesorios,10,Primavera,90.58,4.2, muy bueno!,Ray-ban,Valencia
17,Libros,5,Verano,113.27,3.9,buena relacion calidad-precio,Alianza Editorial,Valencia
17,Deporte,8,Primavera,453.5,1.2,no cumple las expectativas,Nike,Valencia
17,Accesorios,2,Primavera,367.65,2.7,me gusto,Ray-ban,Valencia
17,Ropa,10,Verano,452.2,1.4,no cumple las expectativas,Roxy,Valencia
17,Cocina,10,Primavera,454.51,4.1,buena relacion calidad-precio,Flora,Valencia
17,Zapatos,2,Primavera,284.51,4.0, muy bueno!,New balance,Valencia
17,Hogar,7,Verano,139.69,0.4,no cumple las expectativas,Henkel,Valencia
17,Ferreteria,9,Verano,349.69,4.2,justo lo que esperaba,Yale,Valencia
17,Libros,9,Otoño,85.38,3.3, cumple las expectativas,Platena Comic,Valencia
17,Ferreteria,3,Primavera,335.78,0.5,no llego el producto,3M,Valencia
17,Deporte,8,Primavera,222.39,4.4,buena relacion calidad-precio,Nike,Valencia
17,Baño,2,Primavera,464.19,3.0, cumple las expectativas,Don limpio,Valencia
17,Electronica,2,Primavera,17.42,1.7, la calidad no es la esperada,Apple,Valencia
17,Baño,6,Otoño,332.53,2.8,me gusto,Cif,Valencia
17,Accesorios,10,Otoño,253.39,3.0, cumple las expectativas,Ray-ban,Valencia
18,Zapatos,8,Primavera,421.2,2.6,me gusto,New balance,Zaragoza
18,Electronica,2,Primavera,90.47,2.3, la calidad no es la esperada,General Electric,Zaragoza
18,Cocina,4,Primavera,105.31,2.7,me gusto,Nescafe,Zaragoza
18,Electronica,10,Otoño,498.27,0.8,no cumple las expectativas,General Electric,Zaragoza
18,Ferreteria,4,Primavera,436.53,1.4,no llego el producto,3M,Zaragoza
18,Hogar,4,Primavera,30.5,3.8,justo lo que esperaba,Colgate - palmolive,Zaragoza
18,Accesorios,6,Primavera,366.09,3.1, cumple las expectativas,Ray-ban,Zaragoza
18,Baño,6,Primavera,381.26,2.6,me gusto,Cristasol,Zaragoza
18,Zapatos,5,Verano,277.84,0.8,muy malo,Camper,Zaragoza
18,Libros,5,Otoño,50.97,3.0,llego justo a tiempo,Alianza Editorial,Zaragoza
18,Accesorios,10,Otoño,72.71,4.8, muy bueno!,Bimba y Lola,Zaragoza
18,Ferreteria,9,Otoño,399.0,1.0,no cumple las expectativas,3M,Zaragoza
18,Accesorios,4,Otoño,331.35,1.6, la calidad no es la esperada,Bimba y Lola,Zaragoza
18,Hogar,9,Primavera,86.15,3.9,buena relacion calidad-precio,Colgate - palmolive,Zaragoza
18,Accesorios,8,Primavera,464.83,0.9,no cumple las expectativas,Ray-ban,Zaragoza
19,Ropa,11,Verano,114.38,2.2, la calidad no es la esperada,Levis,Barcelona
19,Baño,3,Primavera,171.69,1.3,no llego el producto,Don limpio,Barcelona
